epoch,train_loss,val_top1,val_top3,val_top5,val_nll,lr,time_s
1,3.6888,0.0606,0.0909,0.1515,3.6266,0.000300,1.0
2,3.6151,0.0606,0.0909,0.1515,3.5808,0.000150,0.4
3,3.5719,0.0606,0.0909,0.1515,3.5708,0.000000,0.4
