fold,epoch,train_loss,val_acc
1,75,0.662174,0.783639
1,76,0.658039,0.792813
1,77,0.651970,0.779052
1,78,0.643752,0.782875
1,79,0.645154,0.788226
1,80,0.643074,0.779052
1,81,0.637865,0.787462
1,82,0.637158,0.791284
1,83,0.630564,0.786697
1,84,0.629922,0.792813
1,85,0.624425,0.798930
1,86,0.621907,0.784404
1,87,0.618670,0.798930
1,88,0.616081,0.799694
1,89,0.616637,0.808104
1,90,0.616625,0.798165
1,91,0.609957,0.790520
1,92,0.604663,0.797401
1,93,0.605469,0.803517
1,94,0.604626,0.807339
1,95,0.605484,0.798165
1,96,0.599623,0.803517
1,97,0.594896,0.801223
1,98,0.599252,0.801223
1,99,0.596011,0.808104
1,100,0.597488,0.807339
1,101,0.591796,0.804281
1,102,0.590670,0.804281
1,103,0.590238,0.798930
1,104,0.587136,0.812691
1,105,0.589153,0.810398
1,106,0.586450,0.805046
1,107,0.588668,0.811927
1,108,0.586723,0.802752
1,109,0.583148,0.808104
1,110,0.585738,0.801988
1,111,0.585696,0.804281
1,112,0.581481,0.805810
1,113,0.586784,0.812691
1,114,0.585510,0.806575
1,115,0.585175,0.806575
1,116,0.585303,0.808104
1,117,0.583181,0.808869
1,118,0.584199,0.808104
1,119,0.583954,0.808104
2,0,2.256837,0.388974
2,1,1.857837,0.454824
2,2,1.639463,0.513017
2,3,1.494184,0.547473
2,4,1.388969,0.564319
2,5,1.322355,0.562787
2,6,1.286300,0.575804
2,7,1.252071,0.591884
2,8,1.224115,0.625574
2,9,1.195551,0.595712
2,10,1.171520,0.631700
2,11,1.148225,0.645482
2,12,1.128242,0.636294
2,13,1.110124,0.637060
2,14,1.096573,0.637060
2,15,1.083551,0.617917
2,16,1.073020,0.664625
2,17,1.058545,0.669985
2,18,1.043908,0.631700
2,19,1.042806,0.672282
2,20,1.023823,0.679939
2,21,1.020521,0.676110
2,22,1.004229,0.643951
2,23,0.996188,0.686830
2,24,0.986052,0.689127
2,25,0.973826,0.697550
2,26,0.968403,0.696018
2,27,0.957701,0.705972
2,28,0.948745,0.686064
2,29,0.942227,0.698315
2,30,0.929254,0.685299
2,31,0.921176,0.725115
2,32,0.913082,0.732006
2,33,0.907758,0.716692
2,34,0.894611,0.725881
2,35,0.891812,0.730475
2,36,0.885261,0.729709
2,37,0.878533,0.740429
2,38,0.867978,0.724349
2,39,0.859121,0.745023
2,40,0.850025,0.738132
2,41,0.849321,0.753446
2,42,0.836260,0.743492
2,43,0.833084,0.746554
2,44,0.822093,0.764931
2,45,0.815133,0.765697
2,46,0.803742,0.753446
2,47,0.799932,0.747320
2,48,0.791156,0.751914
2,49,0.786318,0.747320
2,50,0.781108,0.753446
2,51,0.773797,0.753446
2,52,0.766460,0.751914
2,53,0.755783,0.761103
2,54,0.752348,0.768760
2,55,0.749184,0.760337
2,56,0.738275,0.759571
2,57,0.732503,0.758806
2,58,0.733217,0.760337
2,59,0.726157,0.744257
2,60,0.719829,0.771057
2,61,0.713559,0.762634
2,62,0.706477,0.778714
2,63,0.701005,0.771057
2,64,0.698382,0.783308
2,65,0.694802,0.766463
2,66,0.686249,0.777182
2,67,0.684297,0.769525
2,68,0.677399,0.776417
2,69,0.673835,0.784839
2,70,0.668813,0.774119
2,71,0.664969,0.793262
2,72,0.659290,0.792496
2,73,0.658940,0.767994
2,74,0.649226,0.784074
2,75,0.648909,0.777182
2,76,0.641514,0.795559
2,77,0.634144,0.787136
2,78,0.632883,0.788668
2,79,0.627818,0.791730
2,80,0.625777,0.786371
2,81,0.624874,0.795559
2,82,0.618977,0.799387
2,83,0.613065,0.809341
2,84,0.616379,0.797090
2,85,0.611965,0.798622
2,86,0.609421,0.797856
2,87,0.604680,0.799387
2,88,0.605644,0.802450
2,89,0.604237,0.798622
2,90,0.594662,0.800919
2,91,0.599445,0.803982
2,92,0.593977,0.802450
2,93,0.591719,0.800919
2,94,0.591325,0.801685
2,95,0.589756,0.802450
2,96,0.583938,0.809341
2,97,0.585284,0.804747
2,98,0.580480,0.807810
2,99,0.579201,0.807044
2,100,0.579259,0.804747
2,101,0.579717,0.813170
2,102,0.576539,0.807044
2,103,0.571607,0.806279
2,104,0.574668,0.799387
2,105,0.572368,0.807810
2,106,0.572578,0.810107
2,107,0.571859,0.810107
2,108,0.570923,0.810107
2,109,0.568203,0.811639
2,110,0.568252,0.804747
2,111,0.569752,0.810873
2,112,0.566826,0.810107
2,113,0.570497,0.810107
2,114,0.571996,0.808576
2,115,0.568631,0.810873
2,116,0.565290,0.809341
2,117,0.565891,0.810107
2,118,0.565903,0.810873
2,119,0.568347,0.810873
3,0,2.194764,0.432619
3,1,1.818043,0.473966
3,2,1.595412,0.493109
3,3,1.451064,0.554364
3,4,1.372850,0.560490
3,5,1.311382,0.544410
3,6,1.276744,0.581930
3,7,1.249485,0.565850
3,8,1.226431,0.581930
3,9,1.207549,0.604900
3,10,1.175567,0.595712
3,11,1.155381,0.614089
3,12,1.125659,0.637825
3,13,1.107671,0.623277
3,14,1.090152,0.627106
3,15,1.075081,0.633231
3,16,1.054871,0.661562
3,17,1.041643,0.645482
3,18,1.029981,0.616386
3,19,1.018053,0.630934
3,20,1.005386,0.675345
3,21,0.990219,0.655436
3,22,0.982355,0.644717
3,23,0.971201,0.663093
3,24,0.957957,0.682236
3,25,0.951405,0.689893
3,26,0.939309,0.683767
3,27,0.931991,0.685299
3,28,0.919724,0.692956
3,29,0.903935,0.684533
3,30,0.894222,0.703675
3,31,0.888981,0.686064
3,32,0.877904,0.704441
3,33,0.867071,0.679939
3,34,0.858678,0.699081
3,35,0.853508,0.705207
3,36,0.842878,0.669985
3,37,0.831534,0.705972
3,38,0.833512,0.696018
3,39,0.821271,0.696784
3,40,0.813687,0.712098
3,41,0.803297,0.707504
3,42,0.798631,0.718224
3,43,0.790734,0.705207
3,44,0.782086,0.725115
3,45,0.775524,0.699081
3,46,0.766635,0.722818
3,47,0.758896,0.741960
3,48,0.749831,0.722818
3,49,0.747457,0.738132
3,50,0.740044,0.715926
3,51,0.730037,0.728178
3,52,0.728601,0.732772
3,53,0.718566,0.715161
3,54,0.711995,0.735069
3,55,0.707436,0.722052
3,56,0.699357,0.741960
3,57,0.692716,0.748086
3,58,0.686054,0.736600
3,59,0.680605,0.736600
3,60,0.675756,0.742726
3,61,0.672175,0.750383
3,62,0.667933,0.725881
3,63,0.660740,0.743492
3,64,0.655581,0.746554
3,65,0.649648,0.745789
3,66,0.642421,0.742726
3,67,0.641614,0.739663
3,68,0.633141,0.748851
3,69,0.627983,0.745789
3,70,0.630060,0.748086
3,71,0.615599,0.746554
3,72,0.621026,0.751914
3,73,0.612541,0.752680
3,74,0.613098,0.750383
3,75,0.609728,0.761868
3,76,0.597618,0.753446
3,77,0.596719,0.739663
3,78,0.595824,0.755743
3,79,0.589758,0.757274
3,80,0.585014,0.748851
3,81,0.586788,0.759571
3,82,0.582446,0.751149
3,83,0.579706,0.749617
3,84,0.575445,0.764165
3,85,0.574603,0.764165
3,86,0.572698,0.757274
3,87,0.563135,0.761103
3,88,0.566821,0.757274
3,89,0.558186,0.765697
3,90,0.557266,0.769525
3,91,0.557062,0.771822
3,92,0.553596,0.757274
3,93,0.553444,0.771822
3,94,0.551570,0.767228
3,95,0.548552,0.767228
3,96,0.553503,0.771057
3,97,0.545927,0.765697
3,98,0.548420,0.770291
3,99,0.547802,0.762634
3,100,0.546006,0.773354
3,101,0.540923,0.773354
3,102,0.537368,0.765697
3,103,0.539850,0.773354
3,104,0.538790,0.771822
3,105,0.535222,0.775651
3,106,0.535116,0.772588
3,107,0.536097,0.766463
3,108,0.532289,0.768760
3,109,0.532823,0.770291
3,110,0.531724,0.773354
3,111,0.529033,0.768760
3,112,0.532641,0.771057
3,113,0.530654,0.770291
3,114,0.533355,0.771822
3,115,0.528765,0.772588
3,116,0.528978,0.769525
3,117,0.527771,0.770291
3,118,0.526543,0.770291
3,119,0.530347,0.770291
4,0,2.177891,0.389908
4,1,1.832905,0.501529
4,2,1.606080,0.522171
4,3,1.472850,0.552752
4,4,1.389540,0.553517
4,5,1.322939,0.569572
4,6,1.278499,0.585627
4,7,1.242883,0.604740
4,8,1.214305,0.603976
4,9,1.196019,0.618502
4,10,1.175112,0.610092
4,11,1.156684,0.625382
4,12,1.139492,0.622324
4,13,1.119801,0.631498
4,14,1.109788,0.608563
4,15,1.094244,0.655963
4,16,1.075487,0.652905
4,17,1.072244,0.645260
4,18,1.065889,0.668960
4,19,1.055223,0.671254
4,20,1.036604,0.613914
4,21,1.027641,0.670489
4,22,1.013372,0.676606
4,23,1.002783,0.692661
4,24,0.988887,0.680428
4,25,0.973986,0.682722
4,26,0.959072,0.694190
4,27,0.952017,0.678899
4,28,0.939973,0.695719
4,29,0.929379,0.709480
4,30,0.920882,0.718654
4,31,0.912884,0.724006
4,32,0.898147,0.725535
4,33,0.890911,0.711774
4,34,0.880409,0.729358
4,35,0.872985,0.735474
4,36,0.866215,0.730887
4,37,0.851403,0.738532
4,38,0.844657,0.743119
4,39,0.837770,0.748471
4,40,0.831790,0.743119
4,41,0.821647,0.746942
4,42,0.815016,0.726300
4,43,0.806780,0.740061
4,44,0.800385,0.751529
4,45,0.801791,0.740826
4,46,0.790342,0.739297
4,47,0.782980,0.737003
4,48,0.775707,0.759174
4,49,0.770263,0.759174
4,50,0.761640,0.765290
4,51,0.755041,0.761468
4,52,0.747174,0.767584
4,53,0.737978,0.775994
4,54,0.737603,0.777523
4,55,0.735469,0.773700
4,56,0.724001,0.770642
4,57,0.719996,0.775229
4,58,0.712190,0.777523
4,59,0.711519,0.774465
4,60,0.702168,0.782110
4,61,0.699282,0.771407
4,62,0.688580,0.776758
4,63,0.685128,0.777523
4,64,0.680880,0.790520
4,65,0.672327,0.774465
4,66,0.673400,0.792813
4,67,0.667253,0.787462
4,68,0.663008,0.795107
4,69,0.654772,0.795872
4,70,0.652009,0.796636
4,71,0.646480,0.798165
4,72,0.640178,0.796636
4,73,0.637853,0.803517
4,74,0.629725,0.794343
4,75,0.632975,0.805046
4,76,0.628990,0.803517
4,77,0.626652,0.801988
4,78,0.623183,0.805810
4,79,0.620841,0.793578
4,80,0.611065,0.808869
4,81,0.610060,0.804281
4,82,0.607443,0.813456
4,83,0.602622,0.804281
4,84,0.597614,0.811162
4,85,0.597710,0.812691
4,86,0.594874,0.811162
4,87,0.594246,0.815749
4,88,0.594076,0.809633
4,89,0.585066,0.805046
4,90,0.582622,0.820336
4,91,0.579002,0.812691
4,92,0.581964,0.808104
4,93,0.578655,0.814985
4,94,0.577328,0.814985
4,95,0.569937,0.822630
4,96,0.572157,0.823394
4,97,0.570716,0.817278
4,98,0.569890,0.815749
4,99,0.566143,0.814220
4,100,0.563757,0.818807
4,101,0.563792,0.817278
4,102,0.568408,0.819572
4,103,0.557113,0.820336
4,104,0.565286,0.818043
4,105,0.562111,0.819572
4,106,0.561861,0.820336
4,107,0.556807,0.821101
4,108,0.560081,0.819572
4,109,0.555716,0.816514
4,110,0.556355,0.815749
4,111,0.557344,0.818807
4,112,0.553946,0.816514
4,113,0.558463,0.820336
4,114,0.559369,0.820336
4,115,0.557368,0.821865
4,116,0.556212,0.821865
4,117,0.556100,0.821865
4,118,0.551808,0.822630
4,119,0.553808,0.822630
